A1B1C1,A1B1C1,A4B1C1,A2B1C1,BC,A5B1C1,A6B6C6,A2B5C5,A2B4C4,A6,A2,A6,A5,A2,,,C1,A3B1C1,A3BC,AB2C2,A5B1C1,C1,C1,A5B1C5,B5C5,B5C1,A6C2,A,A6C2,B1C1,AC1,C,A5,A,A6C1,C,A,A6B1C1,C1,A,C,C1,B1C4,A10B10C10,A2B1C1,A4B5C5,A2B3C3,A1B1C1,AIBDCD,A2B1C1
A1B1C1,A1B1C1,A1B1C1,A1B1C1,BC,A1B1C1,A6B5C5,A3B3C3,A4B3C3,A2,A2,A4,A1,A2,,,C2,A1B1C1,ABC,A2B2C2,A2B1C1,C4,C1,A5B1C1,B1C2,B2C1,AC1,A1,AC4,B1C4,A1C1,C,A,A1,AC1,C,A3,AB4C1,C1,A1,C,C1,B1C1,A11B8C8,A2B6C6,A2B3C3,A3B3C3,A2B1C1,ADBDCD,A1B1C1
A1B1C1,A1B2C2,A1B1C1,A1BC,B2C2,A1B1C1,A2B2C2,A4B2C2,A4B4C4,A1,A2,A4,A1,A5,,,C2,A1B1C1,ABC,A2B2C2,A2B1C1,C4,C1,A3B1C1,B1C2,B2C1,A1C1,A,A4C6,B1C1,AC,C1,A1,A,A1C,C7,A,A1B1C1,C,A,C1,C1,B1C3,A11B11C11,A3B1C1,A2B4C4,A2B3C3,A1B2C2,ADBDCD,A3B4C4
A1B1C1,A1B1C1,A6B1C1,A1B1C1,BC,A3B1C1,A2B2C2,A2B6C6,A1B4C4,A6,A1,A1,A1,A3,,,C3,A3B1C1,A2BC,AB2C2,A5B1C1,C1,C1,A5B1C1,B1C2,B2C1,AC1,A7,AC3,B1C1,A7C1,C,A,A4,AC2,C,A6,AB1C1,C1,A4,C,C1,B1C2,A6B5C5,A2B2C2,A4B4C4,A2B3C3,A2B1C1,ARBICI,A1B1C1
A1B1C1,A1B1C1,A2B3C3,A1B1C1,BC,A1B1C1,A5B2C2,A5B4C4,A4B4C4,A5,A4,A6,A5,A5,,,C1,A9B1C1,A1BC,A2B2C2,AB1C1,C1,C1,A6B1C5,B5C5,B5C1,A7C1,A,A7C1,B1C1,AC1,C,A7,A,A7C1,C,A,A7B1C1,C2,A,C,C1,B1C2,A11B6C6,A4B2C2,A1B4C4,A2B3C3,A2B1C1,ADBDCD,A1B1C1
A1B1C1,A1B2C2,A7B1C1,A1B2C2,BC,A3B1C1,A6B2C2,A3B2C2,A2B4C4,A2,A6,A6,A2,A2,,,C2,A3B1C1,A1BC,AB2C2,A5B1C1,C1,C1,A5B1C1,B1C5,B5C1,A4C1,A,A4C5,B1C4,AC1,C,A4,A,A4C1,C,A,A7B4C1,C1,A,C,C1,B1C1,A11B7C7,A2B2C2,A5B3C3,A3B3C3,A2B1C1,ARBDCD,A1B1C1
A1B1C1,A2B2C2,A5B3C3,A2BC,B2C2,A3B1C1,A4B2C2,A5B2C2,A2B4C4,A3,A4,A3,A4,A5,,,C3,A3B1C1,A2BC,AB3C3,A5B2C2,C3,C5,A6B5C6,B6C5,B5C1,AC1,A2,AC4,B1C4,A7C,C2,A,A3,AC,C2,A7,AB4C1,C,A7,C6,C1,B1C2,A10B10C10,A4B8C8,A5B2C2,A2B3C3,A2B2C2,ARBDCD,A3B1C1
A1B1C1,A1B1C1,A7B3C3,A1B1C1,BC,A3B1C1,A6B2C2,A3B3C3,A1B4C4,A4,A4,A2,A4,A6,,,C2,A3B1C1,A2BC,AB2C2,A5B1C1,C1,C1,A5B1C1,B1C2,B2C1,A6C1,A,A1C4,B1C4,AC1,C,A6,A,A3C1,C,A,A4B4C1,C1,A,C,C1,B1C1,A11B4C4,A7B6C6,A5B3C3,A2B3C3,A1B1C1,ARBDCD,A1B2C2
A1B1C1,A1B1C1,A2B1C1,A1BC,B1C1,A1B1C1,A1B7C7,A3B7C7,A4B3C3,A2,A1,A4,A1,A2,,,C1,A1B1C1,ABC,A2B2C2,A2B1C1,C1,C1,A1B1C6,B6C5,B5C1,AC1,A1,AC5,B1C4,A1C,C2,A,A7,AC,C6,A3,AB4C1,C,A2,C6,C1,B1C4,A11B5C5,A1B2C2,A2B3C3,A2B3C3,A2B2C2,ADBDCD,A1B1C1
A1B1C1,A1B1C1,A2B1C1,A1BC,B1C1,A5B1C1,A2B1C1,A3B2C2,A2B4C4,A2,A2,A3,A1,A6,,,C1,A1B1C1,ABC,A1B2C2,A2B1C1,C1,C1,A3B1C5,B5C5,B5C1,A2C1,A,A3C1,B1C1,AC,C1,A6,A,A3C,C1,A,A2B1C1,C,A,C1,C1,B1C3,A9B10C10,A4B2C2,A4B1C1,A2B3C3,A1B1C1,ADBDCD,A4B1C1
